Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
27,Another Life,Motionless In White,2019,https://www.youtube.com/watch?v=uVysW4TWXS0,0fd8b97c8cf2ed850fbba2a29767204e4049056fb5cb2738c89585182c6688a3,Motionless In White - Another Life (Official Audio),NLA321900085
28,Round and Round,Ratt,1984,https://www.youtube.com/watch?v=0u8teXR8VE4,58f81a4a4a7df956a968dcc2d4d8e8a78898e8d64ffcba40483b86a4176f5375,RATT - Round And Round (Official Music Video),USAT29900560
29,My Curse,Killswitch Engage,2006,https://www.youtube.com/watch?v=F5S2ahSapQc,dfe56a285d5c82b5e3d4f2dc96e47b29d378fe3e840e8773a39d8ad35dc5536e,Killswitch Engage - My Curse (LYRICS),NLA320682675
30,My Sharona,The Knack,1979,https://www.youtube.com/watch?v=bbr60I0u2Ng,61108884b625e57efe6244b6fa0e0cd634fd02b229423c939eae86826559ccc0,The Knack - My Sharona,USCA28900153
31,Satellite,Rise Against,2011,https://www.youtube.com/watch?v=6nQCxwneUwA,733c6676ed81bcc198ade9f5922834fad50b462ab1c6111d8dd1ab2f7a7cb728,Rise Against - Satellite,USUM71101043
32,Stairway to Heaven - Remaster,Led Zeppelin,1971,https://www.youtube.com/watch?v=QkF3oxziUI4,9d86ec43ada421d0a3029ed5a022f204e29caa4fc76644591b5200e1febb5eb3,Led Zeppelin - Stairway To Heaven (Official Audio),USAT21300959
33,Owner of a Lonely Heart,Yes,1983,https://www.youtube.com/watch?v=SVOuYquXuuc,226b9914f676a16b8f53bbd50af8fbebdcdd154522eea34c72fa1f86b00813ec,YES - Owner of a Lonely Heart (Official Music Video),USAT20702539
34,Don't Bring Me Down,Electric Light Orchestra,1979,https://www.youtube.com/watch?v=z9nkzaOPP6g,6b538515fb02d01b055d8fb22ed5bf408ba04f801f000b358bdbd32957bd0700,Electric Light Orchestra - Don't Bring Me Down (Official Video),USSM10015734
35,Cherry Bomb,The Runaways,1976,https://www.youtube.com/watch?v=aNNp5GyzlKc,36e2cd39119db22901b6152c5a50a157f4bb48b86165ae4b703241268b7ed2f5,Dakota Fanning & Kristen Stewart - Cherry Bomb (Official Video),USIR20200576
36,Holy Diver,Dio,1983,https://www.youtube.com/watch?v=2lvs2FzF64o,909b8de6c23d2d8d52ae73bdb8a9634e2e0be5458d0a62f825e022112070f355,Dio - Holy Diver (Official Music Video) [HD],NLF050390016
37,November Rain,Guns N' Roses,1991,https://www.youtube.com/watch?v=8x23ajWSHyo,7ccd266a60fb6c96b57fb8954e232acccc2e46c2f602d14f7e3789bd39115906,Guns N' Roses - November Rain,USGF19141510
38,The Trooper,Iron Maiden,1983,https://www.youtube.com/watch?v=X4bgXH3sJ2Q,a14c4edaeccfdaeafa69f980a275541c9aaf041687e96a2ed581a284d39da165,Iron Maiden - The Trooper (Official Video),GBCHB1800032
39,Kickstart My Heart,Mötley Crüe,1989,https://www.youtube.com/watch?v=CmXWkMlKFkI,78f0749433aa9051501abc055e4f219b1536f9b94c4c70ef0f8bc10c79fceb68,Mötley Crüe - Kickstart My Heart (Official Music Video),USBY29900215
40,Masterpiece,Motionless In White,2022,https://www.youtube.com/watch?v=rbFaVDfkI00,5955b09e724f81295564080f56397bdb41b741fd60daddf9927742794777e233,Motionless In White - Masterpiece [Official Video],NLA322200040
41,Bulls On Parade,Rage Against The Machine,1996,https://www.youtube.com/watch?v=3L4YrGaR8E4,e312ca071f1ba8bf090731725d159ef3c51be6105939a91d31aac43cb746e99e,Rage Against The Machine - Bulls On Parade (Official HD Video),USSM19502563
42,Come As You Are,Nirvana,1991,https://www.youtube.com/watch?v=vabnZ9-ex7o,55a02ab5dde83d34c011fb57facc3cdf4adc3036397b3b8e60668fa5c65522d6,Nirvana - Come As You Are (Official Music Video),USGF19942503
43,Born in the U.S.A.,Bruce Springsteen,1984,https://www.youtube.com/watch?v=EPhWR4d3FJQ,81a2b857615b9cee1e9d66e7eeba573eed5186c9b80b746e9f9d40d2530696fa,Bruce Springsteen - Born in the U.S.A. (Official Video),USSM18400406
44,Fat Lip,Sum 41,2001,https://www.youtube.com/watch?v=CMX2lPum_pg,2df32784e50d386925e979dab7d6f5941d352cafc11222e2c00843ff08af3de6,Sum 41 - Fatlip,USIR20110124
45,Get It On,T. Rex,1971,https://www.youtube.com/watch?v=-noFy_x7Yhg,0655403272281065918a960acb8124f21a26106154ddd04148a5f7fa2c1691bf,T. Rex - Bang A Gong (Get It On) (Official Vinyl Video),GBCHM7100038
46,Misery Business,Paramore,2007,https://www.youtube.com/watch?v=dvHFVGvISSQ,0b4042dbec071086b3162e34f8fd5ca76101a25b6a200491b3c51e9c045c2452,Paramore - Misery Business (Official Music Video),USAT20702617
47,The Passenger,Iggy Pop,1977,https://www.youtube.com/watch?v=-fWw7FE9tTo,063943eb566a6decfae1241ab47cc6a529db1c86a27fcf501c414820ea62f6bd,Iggy Pop - The Passenger (Official Video),USVI20700278
48,Hate To Say I Told You So,The Hives,2000,https://www.youtube.com/watch?v=Uz1Jwyxd4tE,2ae80a725c9cda9c7cc36859f458541783909196cd351098751b2f00562503ab,The Hives - Hate to Say I Told You So (Official Music Video),SEVHC0007060
49,Silent Lucidity,Queensrÿche,1990,https://www.youtube.com/watch?v=jhat-xUQ6dw,810883e1a40cf38e53f2e37355493adc4116fa14f55f52c5531e05bea3761c21,Queensrÿche - Silent Lucidity (Official Music Video),USEM30200450
50,Savior,Rise Against,2008,https://www.youtube.com/watch?v=e8X3ACToii0,15ed0e9742eb844009bf78734f161e3f7ee44e092da7cb96a6779f98052ae54f,Rise Against - Savior (Official Music Video),USUM70832584
51,Tutti Frutti,Little Richard,1955,https://www.youtube.com/watch?v=ivhauEr3KxU,cf9645dac37af69c50235b9708898f41619c9d1046098e64bf580c1f2668cd72,Little Richard - Tutti Frutti (Official Lyric Video),USC4R1100478
